INFO:root:episode:50 e_greed:0.19930399999999932 Cost: -783.1881399798086 Reward:-1000.0 Action:[-1, -1, [1, 2], [4, 1], [3, 6], [0, 7], [3, 4], [0, 0], [4, 5], [4, 3]]
INFO:root:episode:100 e_greed:0.19890399999999892 Cost: 50.31420309290334 Reward:-432.0323014804845 Action:[-1, -1, [3, 2], [1, 6], [0, 1], [4, 4], [3, 7], [4, 0], [0, 3], [2, 5]]
INFO:root:episode:150 e_greed:0.19850399999999851 Cost: 10.339008612279835 Reward:-32.28035667424945 Action:[-1, -1, [4, 0], [2, 2], [0, 4], [1, 1], [4, 7], [4, 6], [3, 3], [2, 5]]
INFO:root:episode:200 e_greed:0.19810399999999811 Cost: 10.339008612279835 Reward:-32.28035667424945 Action:[-1, -1, [4, 0], [3, 3], [0, 4], [2, 2], [4, 7], [4, 6], [1, 1], [2, 5]]
INFO:root:episode:250 e_greed:0.19770399999999771 Cost: 10.339008612279835 Reward:-32.28035667424945 Action:[-1, -1, [3, 3], [4, 6], [2, 5], [0, 4], [4, 0], [4, 7], [2, 2], [1, 1]]
INFO:root:episode:300 e_greed:0.19730399999999731 Cost: 47.41700816445277 Reward:-403.06035219597874 Action:[-1, -1, [2, 5], [1, 1], [3, 3], [4, 6], [0, 4], [2, 0], [0, 2], [4, 7]]
INFO:root:episode:350 e_greed:0.19690399999999691 Cost: 10.404895109271074 Reward:-32.93922164416183 Action:[-1, -1, [4, 0], [3, 3], [2, 5], [1, 1], [0, 2], [4, 6], [3, 7], [0, 4]]
INFO:root:episode:400 e_greed:0.19650399999999651 Cost: 11.016885011437688 Reward:-39.059120665828 Action:[-1, -1, [4, 0], [0, 2], [3, 3], [4, 6], [2, 5], [2, 1], [3, 7], [0, 4]]
INFO:root:episode:450 e_greed:0.19610399999999611 Cost: 50.92478474105177 Reward:-438.1381179619689 Action:[-1, -1, [4, 0], [3, 3], [3, 6], [2, 5], [0, 4], [0, 2], [3, 7], [2, 1]]
INFO:root:episode:500 e_greed:0.19570399999999571 Cost: 10.203010856242809 Reward:-30.9203791138792 Action:[-1, -1, [4, 0], [4, 6], [3, 3], [0, 4], [2, 5], [4, 7], [0, 2], [1, 1]]
INFO:root:episode:550 e_greed:0.19530399999999531 Cost: 10.404895109271074 Reward:-34.299199204532094 Action:[-1, -1, [4, 0], [4, 6], [3, 3], [2, 5], [0, 4], [1, 1], [0, 2], [3, 7]]
INFO:root:episode:600 e_greed:0.19490399999999491 Cost: 10.540892865308098 Reward:-35.65917676490234 Action:[-1, -1, [4, 0], [4, 6], [2, 5], [3, 3], [0, 4], [1, 1], [0, 7], [0, 2]]
